"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"91","OTU_91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,293,145,3933,4543,906,851,733,425,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","OTU_92",0,0,0,2,0,0,0,0,0,0,0,0,2060,566,269,1241,598,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,69,20,51,70,85
"93","OTU_93",0,0,0,0,0,0,0,0,0,0,0,0,2,804,0,7541,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16,0,19,0,2,3,1,1,5,3,0,4,0,1,1,0
"94","OTU_94",0,0,0,0,0,0,0,0,0,0,0,0,7367,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"95","OTU_95",0,7585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","OTU_96",1,0,5139,1523,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,33,7,0,3,12,1,1,0,0,0,4,6,0,5,0,8,0,0,0,0,0,0
"97","OTU_97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,109,1864,45,474,1693,3758,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","OTU_98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,20,2,5,2166,2471,615,844,5034,285,133,54,29,0,10,26,4,19,14,12,0,2,0,0,2,10
"99","OTU_99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1728,4044,810,13,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","OTU_100",0,0,0,86,0,0,0,20,0,0,0,0,2951,434,404,669,935,2060,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,51,8,100,11,46
"101","OTU_101",1,0,0,1,0,0,0,6,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,1,0,4,0,0,0,2,18,3,0,0,0,0,1153,1452,551,1653,906,900,1,13,1,3,2,0
"102","OTU_102",0,157,264,5752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8
"103","OTU_103",0,0,0,0,0,0,0,4,0,0,0,0,46,12,11,34,38,110,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5449,2999,2047,0,0,0,0,0,0,0,0,7,2,3,4,5
