"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"84","Zotu84",0,0,0,0,0,0,0,133,0,0,0,0,1,0,0,2,3,5,0,0,2,0,3,12,0,12,0,30,4466,1463,1349,1090,2137,2759,80,0,27,36,7,15,7,11,58,232,36,81,43,78
"85","Zotu85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11465,196,348,0,1,0,11,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Zotu86",0,0,0,0,0,0,0,13,0,0,0,0,9,4,6,7,17,28,0,0,0,0,0,0,0,0,4,2,4,7877,5151,23,8,2,1,0,5,4,2,6,6,4,4,9,5,7,5,4
"87","Zotu87",0,0,0,0,0,0,0,0,0,0,0,0,251,23,216,64,446,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,8,0,0,0,0,0,0,0,0,1,11,1,0,1
"88","Zotu88",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,17,8,17
"89","Zotu89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,167,150,29,9,11,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Zotu90",0,0,0,0,0,0,0,37,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,9,35,0,0,0,0,1994,3129,988,2094,880,993,176,616,254,396,289,541
"91","Zotu91",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,226,258,364,834,425,591,146,53,30,374,1130,178,55,10,14,0,399,929,122,376,1774,2261,110,394,79,153,63,159
"92","Zotu92",0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,28,21,70,0,0,56,154,203,240,817,174,21,1,11,1,5,1,4,4,15,0,0,0,0,0,0,1,593,2873,643,1792,762,3169
"93","Zotu93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4203,3034,1568,6274,2114,75,151,51,0,0,1,0,0,0,0,0,0,0,0,0,1
"94","Zotu94",0,0,0,0,0,0,0,91,0,0,0,0,72,5,15,33,30,50,0,0,3423,2472,2077,1209,321,1280,6,3,14,20,0,4,15,0,41,0,57,3,10,28,16,2,35,253,36,3,148,6
"95","Zotu95",10034,0,2718,2884,0,0,0,506,0,0,0,0,3419,469,853,1096,1125,3058,0,0,167,70,246,62,151,28,235,52,122,40,66,11,90,61,106,0,23,26,11,125,50,40,1568,5322,1794,4673,3208,5331
"96","Zotu96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,79,82,113,129,46,78,0,0,0,0,4,0,0,0,0,0,1815,2195,974,2548,1226,1505,64,211,48,109,66,147
"97","Zotu97",0,0,0,0,0,0,0,23,0,0,0,0,7,5,15,26,85,164,0,0,535,877,1236,2802,822,1802,4,7,116,14,37,1,0,0,0,0,320,350,269,674,60,169,23,132,41,103,42,78
"98","Zotu98",0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,1,3,12,0,0,0,0,0,0,0,0,0,27,12,28,36,5,44,19,17,0,0,0,0,1,0,0,801,2802,496,1875,1052,3476
"99","Zotu99",134,0,1,17,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Zotu100",189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Zotu101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,20,2613,2797,5393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Zotu102",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Zotu103",0,0,0,0,0,0,0,177,0,0,0,0,6,2,2,17,58,56,0,0,0,1,0,0,0,0,0,0,0,17,18,3,1,2,0,0,143,360,561,1665,1266,734,575,1822,381,1072,396,1180
